topic,model,strategy,file,summary_words,rouge_l_precision,rouge_l_recall,rouge_l_f1,entailment_ratio,avg_entailment_score,contradiction_ratio,bertscore_precision,bertscore_recall,bertscore_f1
Neural Networks for NLP,bart,final,dl_s6_neural_networks_nlp_sum_bart_final.txt,50,0.8889,0.0037,0.0075,0.0,0.3139,0.2,0.1539,-0.5077,-0.198
Neural Networks for NLP,longt5,final,dl_s6_neural_networks_nlp_sum_longt5_final.txt,47,0.7917,0.003,0.0059,0.3333,0.4361,0.6667,0.0211,-0.5919,-0.3035
Neural Networks for NLP,bart,concat,dl_s6_neural_networks_nlp_sum_bart_concat.txt,98,0.9151,0.0076,0.015,0.0,0.3473,0.3333,-0.0032,-0.4534,-0.2371
Neural Networks for NLP,longt5,concat,dl_s6_neural_networks_nlp_sum_longt5_concat.txt,220,0.583,0.0101,0.0199,0.2,0.2847,0.4,-0.156,-0.411,-0.2849
Attention & Transformers,bart,final,dl_s7_attention_transformers_sum_bart_final.txt,39,0.825,0.0058,0.0115,0.0,0.3431,0.6667,0.1463,-0.486,-0.1889
Attention & Transformers,longt5,final,dl_s7_attention_transformers_sum_longt5_final.txt,146,0.5629,0.0149,0.029,0.0,0.2967,0.0,0.0694,-0.4423,-0.1983
Attention & Transformers,bart,concat,dl_s7_attention_transformers_sum_bart_concat.txt,378,0.9342,0.0646,0.1208,0.2069,0.3795,0.3448,-0.1697,-0.3593,-0.2644
Attention & Transformers,longt5,concat,dl_s7_attention_transformers_sum_longt5_concat.txt,146,0.5629,0.0149,0.029,0.0,0.2967,0.0,0.0694,-0.4423,-0.1983
